FID;OBJECTID;Fecha;Codigo;Especie;Altura;POINT_X;POINT_Y
0;1;2022-05-21;93;Guayacán;0;-79,221422000299995;-3,959095999580000
1;2;2022-05-21;163;Guayacán;0;-79,221543999700003;-3,959809000090000
2;3;2022-05-21;205;Guayacán;0;-79,221702999800002;-3,960421000430000
3;4;2022-05-21;180;Guayacán;0;-79,221698999599994;-3,960510000040000
4;5;2022-05-21;85;Guayacán;0;-79,221682999799995;-3,961426000010000
5;6;2022-05-21;72;Guayacán;0;-79,224064999899994;-3,964153999910000
6;7;2022-05-21;165;Guayacán;32;-79,224063999899997;-3,964126999560000
7;8;2022-05-21;124;Guayacán;24;-79,224120999799993;-3,964131999790000
8;9;2022-05-21;178;Guayacán;22;-79,224115000400005;-3,964120000140000
9;10;2022-05-21;187;Guayacán;62;-79,224172000300001;-3,964063000210000
10;11;2022-05-21;108;Guayacán;40;-79,224076000400004;-3,964054999840000
11;12;2022-05-21;41;Guayacán;25;-79,224093000300002;-3,964037999950000
12;13;2022-05-21;206;Guayacán;36;-79,224081999800006;-3,964018999980000
13;14;2022-05-21;22;Guayacán;23;-79,224036000400005;-3,964050999650000
14;15;2022-05-21;102;Guayacán;22;-79,223998999599999;-3,964023000160000
15;16;2022-05-21;169;Guayacán;40;-79,223998999599999;-3,963986000250000
16;17;2022-05-21;119;Guayacán;24;-79,224174999599995;-3,964121000180000
17;18;2022-05-21;175;Guayacán;37;-79,222706000200006;-3,962318999820000
18;19;2022-05-21;179;Guayacán;27;-79,222487000000001;-3,962182999850000
19;20;2022-05-21;101;Guayacán;48;-79,222458000399996;-3,962157999590000
20;21;2022-05-21;97;Guayacán;55;-79,222405999800003;-3,962156000400000
21;22;2022-05-21;148;Guayacán;34;-79,222378000299997;-3,962090000050000
22;23;2022-05-21;9;Guayacán;39;-79,222353000100000;-3,962043999730000
23;24;2022-05-21;33;Guayacán;31;-79,222289999899999;-3,961973000050000
24;25;2022-05-21;2;Guayacán;37;-79,222300000299995;-3,961978000280000
25;26;2022-05-21;120;Guayacán;25;-79,222255000100006;-3,961935000100000
26;27;2022-05-21;95;Guayacán;30;-79,222249999799999;-3,961875000030000
27;28;2022-05-21;121;Guayacán;27;-79,222217000100002;-3,961825000420000
28;29;2022-05-21;192;Guayacán;42;-79,222155999999998;-3,961762000220000
29;30;2022-05-21;39;Guayacán;43;-79,222082000200004;-3,961793999890000
30;31;2022-05-21;12;Guayacán;30;-79,221926000200000;-3,961700000050000
31;32;2022-05-21;96;Guayacán;64;-79,221894999699998;-3,961688000400000
32;33;2022-05-21;157;Guayacán;46;-79,221892999600001;-3,961677999940000
